,Gender Inequality Index,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Gender Inequality Index,,,,,,,,,
,,Value,,Rank,,,,,,,
HDI rank,Country,,,,,,,,,,
,,2023,,2023,,,,,,,
,,,,,,,,,,,
,Latin America and the Caribbean,0.384,,—,,,,,,,
,South Asia,0.458,,—,,,,,,,
,Sub-Saharan Africa,0.558,,—,,,,,,,
,,,,,,,,,,,
,Least developed countries,0.552,,—,,,,,,,
,Small island developing states,0.451,,—,,,,,,,
,,,,,,,,,,,
,Organisation for Economic Co-operation and Development,0.192,,—,,,,,,,
,,,,,,,,,,,
,World,0.455,,—,,,,,,,
